old_path,new_path,date,company,format,status
"to_check/archive/original_snapshot/20241016_DEUTNL2AXXX_PAIN00100109.xml","to_check/archive/original_snapshot/20241016_APOTHEEK_DOCMORRIS_N_V_VOSKUILENWEG_131B_PAIN00100109.xml","20241016","APOTHEEK_DOCMORRIS_N_V_VOSKUILENWEG_131B","PAIN00100109","RENAMED"
"to_check/archive/original_snapshot/20241016_HYVEDEMM473_PAIN00800108.xml","to_check/archive/original_snapshot/20241016_DOCMORRIS_N_V_PAIN00800108.xml","20241016","DOCMORRIS_N_V","PAIN00800108","RENAMED"
"to_check/archive/original_snapshot/20241016_HYVEDEMM473_PAIN00800108_1.xml","to_check/archive/original_snapshot/20241016_DOCMORRIS_N_V_PAIN00800108_1.xml","20241016","DOCMORRIS_N_V","PAIN00800108","RENAMED"
"to_check/archive/original_snapshot/20250121_SOLADES1RWL_PAIN00100109.xml","to_check/archive/original_snapshot/20250121_NOFIRMA_PAIN00100109.xml","20250121","NOFIRMA","PAIN00100109","RENAMED"
"to_check/archive/original_snapshot/20250121_SOLADES1RWL_PAIN00100109_1.xml","to_check/archive/original_snapshot/20250121_NOFIRMA_PAIN00100109_1.xml","20250121","NOFIRMA","PAIN00100109","RENAMED"
"to_check/archive/original_snapshot/20250123_GENODES1VRW_PAIN00100109.xml","to_check/archive/original_snapshot/20250123_ENRW_ROTTWEIL_PAIN00100109.xml","20250123","ENRW_ROTTWEIL","PAIN00100109","RENAMED"
"to_check/archive/original_snapshot/20250123_GENODES1VRW_PAIN00100109_1.xml","to_check/archive/original_snapshot/20250123_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00100109.xml","20250123","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00100109","RENAMED"
"to_check/archive/original_snapshot/20250123_SOLADES1RWL_PAIN00100109.xml","to_check/archive/original_snapshot/20250123_ENRW_ENERGIEVERSORGUNG_ROTTWEI_GMBH_CO_KG_NETZ_PAIN00100109.xml","20250123","ENRW_ENERGIEVERSORGUNG_ROTTWEI_GMBH_CO_KG_NETZ","PAIN00100109","RENAMED"
"to_check/archive/original_snapshot/20250123_SOLADES1RWL_PAIN00100109_1.xml","to_check/archive/original_snapshot/20250123_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00100109_1.xml","20250123","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00100109","RENAMED"
"to_check/archive/original_snapshot/20250123_SOLADES1RWL_PAIN00800108.xml","to_check/archive/original_snapshot/20250123_MARGIT_ARMLEDER_SPRETER_THOMAS_ARMLEDER_PAIN00800108.xml","20250123","MARGIT_ARMLEDER_SPRETER_THOMAS_ARMLEDER","PAIN00800108","RENAMED"
